timestamp, index, utilization.gpu [%], utilization.memory [%], memory.used [MiB], memory.total [MiB]
2026/01/21 01:58:55.571, 0, 0 %, 0 %, 1 MiB, 46068 MiB
2026/01/21 01:58:56.571, 0, 0 %, 0 %, 1 MiB, 46068 MiB
2026/01/21 01:58:57.571, 0, 0 %, 0 %, 1 MiB, 46068 MiB
2026/01/21 01:58:58.571, 0, 0 %, 0 %, 1 MiB, 46068 MiB
2026/01/21 01:58:59.571, 0, 0 %, 0 %, 1 MiB, 46068 MiB
2026/01/21 01:59:00.572, 0, 0 %, 0 %, 1 MiB, 46068 MiB
2026/01/21 01:59:01.572, 0, 0 %, 0 %, 1 MiB, 46068 MiB
2026/01/21 01:59:02.572, 0, 0 %, 0 %, 1 MiB, 46068 MiB
2026/01/21 01:59:03.572, 0, 0 %, 0 %, 1 MiB, 46068 MiB
2026/01/21 01:59:04.572, 0, 0 %, 0 %, 1 MiB, 46068 MiB
2026/01/21 01:59:05.572, 0, 0 %, 0 %, 1 MiB, 46068 MiB
2026/01/21 01:59:06.573, 0, 0 %, 0 %, 1 MiB, 46068 MiB
2026/01/21 01:59:07.573, 0, 0 %, 0 %, 1 MiB, 46068 MiB
2026/01/21 01:59:08.573, 0, 0 %, 0 %, 1 MiB, 46068 MiB
2026/01/21 01:59:09.573, 0, 0 %, 0 %, 1 MiB, 46068 MiB
2026/01/21 01:59:10.573, 0, 0 %, 0 %, 1 MiB, 46068 MiB
2026/01/21 01:59:11.573, 0, 0 %, 0 %, 1 MiB, 46068 MiB
2026/01/21 01:59:12.574, 0, 0 %, 0 %, 1 MiB, 46068 MiB
2026/01/21 01:59:13.574, 0, 0 %, 0 %, 1 MiB, 46068 MiB
2026/01/21 01:59:14.574, 0, 0 %, 0 %, 1 MiB, 46068 MiB
2026/01/21 01:59:15.574, 0, 0 %, 0 %, 1 MiB, 46068 MiB
2026/01/21 01:59:16.574, 0, 0 %, 0 %, 1 MiB, 46068 MiB
2026/01/21 01:59:17.574, 0, 0 %, 0 %, 1 MiB, 46068 MiB
2026/01/21 01:59:18.575, 0, 0 %, 0 %, 1 MiB, 46068 MiB
2026/01/21 01:59:19.575, 0, 0 %, 0 %, 1 MiB, 46068 MiB
2026/01/21 01:59:20.575, 0, 0 %, 0 %, 1 MiB, 46068 MiB
2026/01/21 01:59:21.575, 0, 0 %, 0 %, 1 MiB, 46068 MiB
2026/01/21 01:59:22.575, 0, 0 %, 0 %, 1 MiB, 46068 MiB
2026/01/21 01:59:23.575, 0, 0 %, 0 %, 1 MiB, 46068 MiB
2026/01/21 01:59:24.576, 0, 0 %, 0 %, 1 MiB, 46068 MiB
2026/01/21 01:59:25.576, 0, 0 %, 0 %, 1 MiB, 46068 MiB
2026/01/21 01:59:26.576, 0, 0 %, 0 %, 1 MiB, 46068 MiB
